Model,Path Gambar,Nama File,Jumlah Objek,Kelas Unik,Kelas Dominan,Label YOLO Format
Zenix,E:\datacamera2\2025-06-24_10-20-17\CAMERA_1.jpg,CAMERA_1.jpg,1,[3],3,['3 0.341902 0.670613 0.044572 0.081992']
Fortuner,E:\datacamera2\2025-06-24_10-18-35\CAMERA_1.jpg,CAMERA_1.jpg,15,"[0, 4, 5, 6, 10, 11, 12, 13, 14, 15, 18, 22, 24, 25, 26]",12,"['12 0.334719 0.675547 0.046842 0.083277', '26 0.369473 0.716902 0.020097 0.020251', '22 0.58148 0.600553 0.019665 0.019111', '10 0.355952 0.703302 0.019941 0.019332', '18 0.586396 0.619526 0.019711 0.019877', '0 0.591278 0.672726 0.020303 0.020079', '14 0.567778 0.618447 0.019522 0.019784', '13 0.558246 0.61482 0.019942 0.019844', '15 0.358931 0.557486 0.019343 0.019867', '5 0.615766 0.612682 0.020483 0.044532', '6 0.53261 0.576769 0.029329 0.03621', '11 0.307773 0.675775 0.020045 0.019915', '4 0.552734 0.843518 0.025457 0.047058', '25 0.353127 0.813522 0.02014 0.019506', '24 0.610538 0.765124 0.020578 0.020058']"
Innova,E:\datacamera2\2025-06-24_10-18-35\CAMERA_1.jpg,CAMERA_1.jpg,25,"[0, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",28,"['28 0.558053 0.530092 0.019683 0.02039', '23 0.570254 0.51087 0.019722 0.019934', '26 0.369739 0.71638 0.019518 0.019723', '4 0.532314 0.578595 0.029044 0.031901', '27 0.436215 0.494637 0.020148 0.01968', '12 0.418741 0.533412 0.020474 0.020851', '22 0.492373 0.493794 0.020046 0.019942', '21 0.422931 0.490836 0.020237 0.020625', '19 0.581492 0.598885 0.019604 0.020553', '2 0.554198 0.848798 0.023861 0.04127', '8 0.334173 0.675515 0.046726 0.082408', '10 0.568042 0.619077 0.019166 0.020862', '0 0.591002 0.673872 0.019567 0.02068', '11 0.358941 0.555711 0.020077 0.020932', '20 0.34848 0.518592 0.020207 0.020278', '18 0.59184 0.76008 0.02221 0.04464', '16 0.538595 0.664973 0.020461 0.038203', '14 0.586256 0.61902 0.019772 0.019809', '6 0.355824 0.702731 0.019561 0.019395', '9 0.558045 0.613683 0.020629 0.020865', '3 0.616748 0.610198 0.020072 0.05332', '7 0.307587 0.67557 0.019827 0.019497', '13 0.505088 0.546479 0.020752 0.019896', '24 0.610201 0.765083 0.019537 0.020125', '25 0.353675 0.813116 0.019306 0.019801']"
Zenix,E:\datacamera2\2025-06-24_10-18-35\CAMERA_1.jpg,CAMERA_1.jpg,0,[],-,[]
Fortuner,E:\datacamera2\2025-06-24_10-16-55\CAMERA_1.jpg,CAMERA_1.jpg,0,[],-,[]
Innova,E:\datacamera2\2025-06-24_10-16-55\CAMERA_1.jpg,CAMERA_1.jpg,1,[8],8,['8 0.572702 0.713356 0.048578 0.100476']
Zenix,E:\datacamera2\2025-06-24_10-16-55\CAMERA_1.jpg,CAMERA_1.jpg,15,"[1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18]",1,"['1 0.570792 0.719394 0.051906 0.116042', '8 0.495232 0.749554 0.019985 0.019849', '10 0.454178 0.688906 0.019344 0.02004', '18 0.462011 0.650187 0.020203 0.020229', '13 0.544579 0.940912 0.020189 0.021378', '16 0.34014 0.711645 0.019851 0.020013', '11 0.441271 0.838783 0.019916 0.020049', '17 0.39194 0.658549 0.020533 0.021218', '5 0.575279 0.93884 0.020768 0.020366', '7 0.463232 0.570396 0.019187 0.019783', '15 0.326052 0.63491 0.020185 0.020718', '2 0.338449 0.472549 0.021655 0.050081', '12 0.534056 0.941462 0.021037 0.021244', '6 0.328188 0.570047 0.019985 0.020528', '9 0.496577 0.786756 0.019803 0.019456']"
Fortuner,E:\datacamera2\2025-06-24_10-15-12\CAMERA_1.jpg,CAMERA_1.jpg,19,"[0, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 22, 24, 25, 26, 28]",6,"['6 0.535788 0.583338 0.029438 0.035234', '11 0.311893 0.680849 0.019876 0.019756', '4 0.555551 0.850196 0.027645 0.049768', '13 0.561012 0.621937 0.020537 0.020472', '10 0.359536 0.708621 0.019737 0.019445', '14 0.569403 0.626101 0.020227 0.020085', '17 0.508422 0.550617 0.020164 0.020214', '28 0.5935 0.778071 0.020178 0.019787', '9 0.351072 0.638281 0.019315 0.019197', '22 0.5835 0.606826 0.020347 0.019999', '24 0.611503 0.77226 0.019798 0.019705', '26 0.37295 0.72257 0.019319 0.019351', '16 0.421686 0.537754 0.019665 0.020056', '5 0.617127 0.624568 0.020668 0.038429', '18 0.589021 0.626805 0.019735 0.019999', '15 0.361763 0.562005 0.020157 0.019905', '25 0.356487 0.816539 0.019399 0.019494', '12 0.3384 0.680052 0.046596 0.084248', '0 0.592724 0.679781 0.020324 0.019792']"
Innova,E:\datacamera2\2025-06-24_10-15-12\CAMERA_1.jpg,CAMERA_1.jpg,18,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 14, 16, 17, 19, 24, 25, 26]",6,"['6 0.3595 0.708032 0.019026 0.018978', '7 0.31142 0.681064 0.020065 0.019993', '8 0.33772 0.679192 0.045096 0.083023', '9 0.560275 0.620594 0.019372 0.020425', '16 0.540548 0.671915 0.020049 0.037904', '5 0.350774 0.638263 0.019499 0.019369', '4 0.535384 0.584344 0.0301 0.033384', '10 0.570043 0.625569 0.020037 0.020637', '14 0.58832 0.626565 0.019422 0.019504', '19 0.583633 0.60584 0.020303 0.019695', '25 0.356613 0.816052 0.019982 0.020416', '3 0.618098 0.615221 0.0203 0.052977', '24 0.611432 0.772183 0.019321 0.019558', '26 0.372486 0.722323 0.01839 0.019216', '0 0.593712 0.680256 0.019984 0.019964', '2 0.555807 0.851668 0.023698 0.046908', '17 0.593674 0.778169 0.01996 0.019913', '13 0.50884 0.551415 0.019326 0.020219']"
Zenix,E:\datacamera2\2025-06-24_10-15-12\CAMERA_1.jpg,CAMERA_1.jpg,0,[],-,[]
Fortuner,E:\datacamera2\2025-06-24_10-13-32\CAMERA_1.jpg,CAMERA_1.jpg,1,[8],8,['8 0.362718 0.708539 0.051601 0.116466']
Innova,E:\datacamera2\2025-06-24_10-13-32\CAMERA_1.jpg,CAMERA_1.jpg,0,[],-,[]
Zenix,E:\datacamera2\2025-06-24_10-13-32\CAMERA_1.jpg,CAMERA_1.jpg,16,"[2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"['3 0.36283 0.710015 0.064403 0.126322', '17 0.455068 0.641143 0.019808 0.019963', '18 0.524421 0.663247 0.019252 0.019373', '9 0.496791 0.778885 0.019589 0.019795', '14 0.406118 0.563681 0.020345 0.020553', '16 0.403839 0.641164 0.019876 0.020632', '7 0.60697 0.572124 0.019499 0.019579', '11 0.440727 0.829822 0.01962 0.019555', '6 0.470722 0.56424 0.020553 0.020289', '15 0.311475 0.67424 0.020308 0.020299', '12 0.532295 0.932139 0.020923 0.02091', '8 0.496359 0.741375 0.019483 0.019761', '13 0.543988 0.931322 0.021924 0.020951', '10 0.454919 0.680921 0.019162 0.019378', '2 0.339173 0.45251 0.019939 0.031171', '19 0.541072 0.758659 0.01777 0.019313']"
Fortuner,E:\datacamera2\2025-06-24_10-11-41\CAMERA_1.jpg,CAMERA_1.jpg,22,"[1, 2, 4, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28]",17,"['17 0.50616 0.55083 0.020404 0.02054', '8 0.594287 0.688312 0.048612 0.081498', '11 0.622149 0.690352 0.020628 0.020357', '16 0.417761 0.539443 0.020652 0.020354', '28 0.59188 0.779946 0.020233 0.020019', '24 0.610167 0.774 0.019878 0.019836', '14 0.558118 0.621883 0.020305 0.020257', '18 0.587195 0.628322 0.020045 0.020406', '26 0.370142 0.725629 0.019192 0.01938', '25 0.354002 0.821242 0.019157 0.019048', '27 0.548334 0.815114 0.019658 0.019647', '6 0.532743 0.584834 0.028926 0.034419', '9 0.583013 0.646904 0.020147 0.019831', '13 0.567572 0.627522 0.020521 0.020229', '15 0.3557 0.593063 0.019801 0.019842', '2 0.310299 0.610768 0.020157 0.020587', '1 0.315277 0.571436 0.020616 0.020267', '10 0.573019 0.716104 0.020292 0.020057', '21 0.358811 0.563957 0.020111 0.020197', '4 0.554795 0.85851 0.026742 0.047302', '22 0.581244 0.608884 0.020644 0.020853', '23 0.555634 0.542326 0.019913 0.019754']"
Innova,E:\datacamera2\2025-06-24_10-11-41\CAMERA_1.jpg,CAMERA_1.jpg,12,"[2, 4, 7, 8, 9, 10, 13, 16, 17, 24, 25, 26]",7,"['7 0.621819 0.691337 0.019713 0.019949', '4 0.532427 0.585943 0.029337 0.033835', '25 0.353835 0.820547 0.018854 0.020007', '16 0.538099 0.674379 0.020833 0.034578', '8 0.595577 0.688228 0.043166 0.078203', '26 0.369967 0.725935 0.019382 0.020674', '24 0.609689 0.774634 0.018679 0.019156', '9 0.557135 0.621804 0.018818 0.020057', '10 0.567401 0.628366 0.019591 0.020136', '2 0.553992 0.860028 0.023813 0.044538', '13 0.506198 0.551411 0.019189 0.019714', '17 0.592314 0.779848 0.018894 0.018885']"
Zenix,E:\datacamera2\2025-06-24_10-11-41\CAMERA_1.jpg,CAMERA_1.jpg,0,[],-,[]
Fortuner,E:\datacamera2\2025-06-24_10-09-58\CAMERA_1.jpg,CAMERA_1.jpg,22,"[0, 1, 2, 4, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 26, 27, 28]",8,"['8 0.599883 0.693512 0.0482 0.081129', '1 0.316957 0.573109 0.020601 0.019857', '6 0.53709 0.588737 0.02956 0.036519', '14 0.563604 0.6275 0.02021 0.02072', '15 0.357703 0.594918 0.01988 0.019098', '23 0.559117 0.547621 0.020508 0.020838', '17 0.509473 0.554087 0.020232 0.020613', '24 0.615268 0.782144 0.019469 0.019414', '22 0.586279 0.613793 0.020504 0.020782', '27 0.553273 0.823214 0.020072 0.019989', '2 0.312276 0.615032 0.020632 0.020615', '25 0.356129 0.825976 0.019347 0.020045', '26 0.372618 0.730238 0.020276 0.020551', '16 0.421416 0.542394 0.020092 0.020679', '9 0.588159 0.652869 0.020074 0.019493', '21 0.361229 0.568018 0.020848 0.0207', '0 0.340493 0.68239 0.020543 0.020292', '4 0.557496 0.866089 0.022607 0.043369', '11 0.627507 0.698139 0.020971 0.020364', '28 0.597926 0.786845 0.020225 0.020083', '10 0.578242 0.723436 0.019662 0.020148', '13 0.571844 0.633447 0.020041 0.0199']"
Innova,E:\datacamera2\2025-06-24_10-09-58\CAMERA_1.jpg,CAMERA_1.jpg,11,"[2, 4, 7, 8, 9, 14, 16, 17, 24, 25, 26]",4,"['4 0.536067 0.589483 0.030299 0.033568', '16 0.543103 0.679084 0.020266 0.033586', '26 0.372674 0.731372 0.020639 0.021179', '7 0.626965 0.697265 0.019343 0.019542', '25 0.356173 0.826253 0.018011 0.019082', '24 0.614748 0.781777 0.018703 0.01905', '8 0.600483 0.694218 0.04326 0.077264', '9 0.562825 0.627793 0.020032 0.021136', '2 0.558488 0.863059 0.023665 0.041405', '17 0.597574 0.78605 0.018883 0.018998', '14 0.572239 0.632721 0.018961 0.0195']"
Zenix,E:\datacamera2\2025-06-24_10-09-58\CAMERA_1.jpg,CAMERA_1.jpg,0,[],-,[]
Fortuner,E:\datacamera2\2025-06-24_10-08-22\CAMERA_1.jpg,CAMERA_1.jpg,0,[],-,[]
Innova,E:\datacamera2\2025-06-24_10-08-22\CAMERA_1.jpg,CAMERA_1.jpg,0,[],-,[]
Zenix,E:\datacamera2\2025-06-24_10-08-22\CAMERA_1.jpg,CAMERA_1.jpg,7,"[2, 3, 6, 7, 14, 16]",2,"['14 0.407732 0.554188 0.020041 0.019764', '7 0.606737 0.558908 0.02077 0.020674', '16 0.405569 0.6294 0.020197 0.020438', '6 0.471401 0.553816 0.019717 0.019554', '3 0.373837 0.69385 0.045773 0.123439', '2 0.299356 0.429927 0.020835 0.028883', '2 0.343761 0.423348 0.019903 0.025991']"
Fortuner,E:\datacamera2\2025-06-24_10-06-40\CAMERA_1.jpg,CAMERA_1.jpg,21,"[0, 1, 2, 4, 6, 8, 9, 10, 11, 13, 14, 15, 16, 18, 21, 22, 23, 25, 26, 27, 28]",8,"['8 0.593198 0.680069 0.049057 0.080605', '11 0.620784 0.682303 0.02045 0.020684', '27 0.547656 0.807708 0.020098 0.020252', '26 0.369029 0.717344 0.019747 0.019688', '23 0.553649 0.537035 0.020156 0.020412', '21 0.357681 0.556576 0.019905 0.019665', '16 0.417736 0.532816 0.021043 0.020672', '9 0.581166 0.639518 0.02008 0.019927', '13 0.566466 0.61942 0.020322 0.020569', '22 0.580325 0.60191 0.02057 0.019988', '15 0.355039 0.58544 0.019661 0.01979', '14 0.557478 0.615167 0.019954 0.020229', '2 0.308705 0.603703 0.020033 0.020721', '18 0.585976 0.620913 0.020233 0.02057', '28 0.590608 0.772237 0.019966 0.019683', '10 0.571904 0.708359 0.020259 0.020702', '0 0.336917 0.66902 0.020271 0.020164', '1 0.314075 0.562477 0.020535 0.020245', '6 0.531271 0.578298 0.029247 0.035034', '4 0.54998 0.858711 0.025452 0.04287', '25 0.351987 0.812669 0.019844 0.01993']"
Innova,E:\datacamera2\2025-06-24_10-06-40\CAMERA_1.jpg,CAMERA_1.jpg,11,"[0, 4, 7, 8, 9, 10, 14, 16, 17, 25, 26]",4,"['4 0.530499 0.578755 0.027925 0.032084', '7 0.620427 0.681711 0.017828 0.018497', '16 0.537505 0.665161 0.019608 0.037063', '26 0.368615 0.718125 0.020581 0.02089', '10 0.566735 0.61998 0.018932 0.0199', '8 0.594943 0.678163 0.041042 0.077308', '9 0.556987 0.614353 0.018649 0.020077', '17 0.590721 0.771567 0.019383 0.018649', '25 0.351983 0.813334 0.019088 0.019803', '14 0.585282 0.621345 0.019232 0.019792', '0 0.335832 0.669717 0.023321 0.022675']"
Zenix,E:\datacamera2\2025-06-24_10-06-40\CAMERA_1.jpg,CAMERA_1.jpg,0,[],-,[]
Fortuner,E:\datacamera2\2025-06-24_10-05-00\CAMERA_1.jpg,CAMERA_1.jpg,1,[8],8,['8 0.363631 0.718612 0.055409 0.11725']
Innova,E:\datacamera2\2025-06-24_10-05-00\CAMERA_1.jpg,CAMERA_1.jpg,0,[],-,[]
