decision,Model,Path Gambar,Nama File,Jumlah Objek,Kelas Unik,Kelas Dominan,Label YOLO Format
salah,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_00-48-18.jpg,CAMERA_1_2025-06-24_00-48-18.jpg,2,"[0, 7]",7,"['7 0.605023 0.575516 0.021268 0.021416', '0 0.575916 0.614545 0.005236 0.003636']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_00-51-22.jpg,CAMERA_1_2025-06-24_00-51-22.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_00-53-04.jpg,CAMERA_1_2025-06-24_00-53-04.jpg,15,"[0, 1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18]",5,"['5 0.573006 0.930823 0.019754 0.019986', '1 0.56845 0.713245 0.050515 0.11149', '7 0.46295 0.567703 0.020678 0.02055', '11 0.44108 0.830597 0.020986 0.021008', '16 0.343081 0.706246 0.019908 0.021091', '6 0.331096 0.567136 0.020149 0.020369', '15 0.327837 0.629994 0.020296 0.020327', '9 0.496324 0.780319 0.020802 0.021011', '10 0.45416 0.68311 0.019424 0.019733', '0 0.341896 0.446381 0.020344 0.020026', '17 0.394037 0.655022 0.020104 0.020566', '8 0.495513 0.741774 0.021339 0.021263', '13 0.543114 0.932782 0.020539 0.020833', '12 0.53191 0.932671 0.020852 0.021103', '18 0.461533 0.646403 0.0187 0.019371']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_00-54-40.jpg,CAMERA_1_2025-06-24_00-54-40.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_00-56-41.jpg,CAMERA_1_2025-06-24_00-56-41.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_00-56-56.jpg,CAMERA_1_2025-06-24_00-56-56.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_00-59-35.jpg,CAMERA_1_2025-06-24_00-59-35.jpg,16,"[1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18]",2,"['16 0.341927 0.693369 0.019481 0.0198', '11 0.440414 0.817364 0.020414 0.020496', '1 0.567983 0.701836 0.064912 0.128107', '8 0.494874 0.729395 0.021082 0.021181', '18 0.460381 0.633416 0.020091 0.020262', '5 0.572636 0.916634 0.020645 0.021114', '15 0.327096 0.618504 0.019464 0.019682', '10 0.453272 0.670181 0.019402 0.019658', '7 0.461993 0.557197 0.020455 0.021117', '13 0.542127 0.91864 0.020966 0.022105', '6 0.330374 0.558122 0.019544 0.019824', '9 0.495138 0.767835 0.020231 0.020221', '12 0.531008 0.919212 0.020947 0.022282', '17 0.393203 0.64255 0.019663 0.020065', '2 0.340652 0.426054 0.019429 0.019861', '2 0.340694 0.432203 0.019492 0.025388']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-03-39.jpg,CAMERA_1_2025-06-24_01-03-39.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-05-38.jpg,CAMERA_1_2025-06-24_01-05-38.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-07-03.jpg,CAMERA_1_2025-06-24_01-07-03.jpg,18,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",9,"['9 0.495241 0.780915 0.019433 0.01977', '14 0.405064 0.566491 0.020929 0.0209', '8 0.49426 0.743467 0.020143 0.020928', '11 0.439281 0.832055 0.020912 0.020844', '4 0.552049 0.790952 0.020418 0.0204', '7 0.605332 0.574036 0.020521 0.020663', '18 0.522827 0.665328 0.020393 0.020777', '10 0.453489 0.681615 0.01921 0.019926', '6 0.469054 0.566853 0.020444 0.0204', '17 0.454147 0.641153 0.019865 0.02015', '5 0.572023 0.932644 0.020496 0.020312', '16 0.403431 0.645282 0.020307 0.020732', '3 0.36411 0.707857 0.053923 0.111336', '19 0.544061 0.757061 0.019715 0.02006', '13 0.540751 0.934262 0.020606 0.02077', '12 0.529772 0.934687 0.020898 0.021053', '15 0.309983 0.676503 0.020456 0.020441', '2 0.336066 0.456183 0.020115 0.02968']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-09-18.jpg,CAMERA_1_2025-06-24_01-09-18.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-10-53.jpg,CAMERA_1_2025-06-24_01-10-53.jpg,15,"[0, 1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18]",0,"['0 0.333866 0.456547 0.020089 0.019305', '1 0.567087 0.718871 0.050744 0.114363', '16 0.337989 0.712131 0.020492 0.020174', '15 0.323489 0.634528 0.019413 0.019693', '6 0.326835 0.569683 0.019666 0.019396', '5 0.572884 0.937696 0.020854 0.020941', '9 0.494641 0.78724 0.020441 0.020303', '13 0.542149 0.939887 0.020882 0.020907', '17 0.390231 0.658996 0.019742 0.020084', '10 0.451794 0.688156 0.01991 0.019879', '7 0.460402 0.570155 0.020334 0.020398', '12 0.531003 0.940101 0.020489 0.021014', '8 0.494357 0.749084 0.020911 0.02079', '11 0.438729 0.838064 0.020573 0.020349', '18 0.459132 0.651007 0.019162 0.019164']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-12-36.jpg,CAMERA_1_2025-06-24_01-12-36.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-14-19.jpg,CAMERA_1_2025-06-24_01-14-19.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-15-54.jpg,CAMERA_1_2025-06-24_01-15-54.jpg,17,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]",4,"['4 0.556904 0.801166 0.02064 0.020226', '18 0.526883 0.674017 0.020538 0.020248', '5 0.576755 0.942688 0.021143 0.020823', '16 0.405951 0.652455 0.02088 0.020662', '11 0.442975 0.841665 0.020003 0.020258', '14 0.407434 0.573513 0.020465 0.020476', '3 0.366196 0.718534 0.055072 0.114242', '10 0.457015 0.689936 0.019653 0.019411', '17 0.4577 0.648638 0.020575 0.020679', '9 0.499461 0.790229 0.019422 0.020314', '7 0.609849 0.579913 0.020701 0.020362', '8 0.498331 0.752535 0.02016 0.021173', '6 0.472297 0.571981 0.020306 0.020512', '19 0.548897 0.76691 0.020512 0.020395', '13 0.545889 0.943591 0.020266 0.020524', '12 0.534843 0.944251 0.020983 0.021118', '2 0.342775 0.465093 0.020682 0.027342']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-17-35.jpg,CAMERA_1_2025-06-24_01-17-35.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-19-18.jpg,CAMERA_1_2025-06-24_01-19-18.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-20-53.jpg,CAMERA_1_2025-06-24_01-20-53.jpg,18,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",9,"['9 0.495168 0.782001 0.019145 0.019396', '14 0.405918 0.569314 0.020495 0.020002', '6 0.468993 0.56834 0.020413 0.020234', '8 0.494389 0.744866 0.019869 0.020627', '7 0.604824 0.57652 0.020542 0.02085', '11 0.439818 0.832192 0.020083 0.019819', '16 0.403203 0.64624 0.019706 0.020341', '18 0.522487 0.666633 0.019801 0.020143', '4 0.551331 0.791287 0.019979 0.019907', '3 0.364291 0.71172 0.057392 0.11864', '10 0.453561 0.6836 0.019273 0.019801', '19 0.543883 0.757607 0.01971 0.020007', '5 0.571415 0.931855 0.020265 0.02019', '13 0.540843 0.933471 0.021038 0.021173', '17 0.454835 0.643125 0.02028 0.020767', '12 0.529856 0.93347 0.02042 0.021213', '2 0.337493 0.457588 0.020226 0.029334', '15 0.31198 0.67728 0.019843 0.019837']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-22-38.jpg,CAMERA_1_2025-06-24_01-22-38.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-24-22.jpg,CAMERA_1_2025-06-24_01-24-22.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-24-38.jpg,CAMERA_1_2025-06-24_01-24-38.jpg,4,"[1, 5, 7, 13]",1,"['1 0.565792 0.706028 0.060153 0.121172', '7 0.458609 0.561323 0.021674 0.021482', '5 0.570055 0.926283 0.021078 0.020802', '13 0.539659 0.927472 0.021737 0.0232']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-25-56.jpg,CAMERA_1_2025-06-24_01-25-56.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-29-11.jpg,CAMERA_1_2025-06-24_01-29-11.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-30-44.jpg,CAMERA_1_2025-06-24_01-30-44.jpg,17,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]",11,"['11 0.441586 0.835833 0.01982 0.019867', '16 0.404033 0.650147 0.020428 0.020339', '4 0.553653 0.794255 0.019774 0.019689', '19 0.545792 0.761492 0.019451 0.019707', '7 0.605147 0.576711 0.020664 0.020688', '17 0.455189 0.645755 0.020036 0.020564', '10 0.454596 0.686916 0.0194 0.019462', '3 0.365263 0.715332 0.053481 0.112264', '14 0.405023 0.57234 0.020253 0.019927', '5 0.574212 0.93452 0.020521 0.020329', '13 0.544226 0.935962 0.020259 0.021028', '18 0.523691 0.670356 0.020239 0.02068', '8 0.49588 0.747884 0.02022 0.020723', '9 0.497353 0.785863 0.019541 0.02029', '12 0.532918 0.93679 0.020578 0.021139', '6 0.46905 0.570414 0.020114 0.019703', '2 0.340065 0.46611 0.01958 0.028293']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-32-39.jpg,CAMERA_1_2025-06-24_01-32-39.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-34-11.jpg,CAMERA_1_2025-06-24_01-34-11.jpg,15,"[0, 1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18]",9,"['9 0.497463 0.780971 0.02012 0.020142', '7 0.46416 0.568034 0.019882 0.020018', '1 0.569048 0.713141 0.050432 0.111137', '16 0.343623 0.706301 0.019718 0.020282', '11 0.44232 0.830477 0.020766 0.020839', '5 0.573363 0.931895 0.020422 0.020594', '6 0.331876 0.567357 0.020116 0.020144', '0 0.341838 0.449835 0.019434 0.019716', '10 0.454914 0.682984 0.019307 0.019535', '8 0.496343 0.742362 0.021007 0.021283', '13 0.543654 0.933076 0.020558 0.020997', '15 0.328374 0.630002 0.020246 0.02024', '17 0.394268 0.654816 0.020425 0.020654', '18 0.462257 0.647211 0.019049 0.019606', '12 0.532466 0.933104 0.020974 0.021352']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-36-02.jpg,CAMERA_1_2025-06-24_01-36-02.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-37-34.jpg,CAMERA_1_2025-06-24_01-37-34.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-39-15.jpg,CAMERA_1_2025-06-24_01-39-15.jpg,18,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",4,"['4 0.556878 0.782388 0.020111 0.020185', '11 0.4446 0.823785 0.020078 0.020242', '10 0.458638 0.674138 0.019442 0.019239', '18 0.527725 0.657977 0.020105 0.019959', '16 0.408062 0.63785 0.019932 0.020208', '5 0.577081 0.924063 0.020716 0.020517', '14 0.409539 0.55995 0.019915 0.02002', '3 0.367779 0.70077 0.056741 0.11692', '7 0.608947 0.567053 0.020428 0.020317', '9 0.500432 0.772649 0.019379 0.020366', '8 0.499454 0.735597 0.019869 0.020873', '6 0.473111 0.559969 0.01987 0.020091', '17 0.459481 0.634289 0.020108 0.020041', '13 0.546267 0.925612 0.021232 0.021146', '19 0.549302 0.748172 0.020117 0.020107', '15 0.315943 0.668811 0.018901 0.019406', '12 0.534926 0.925604 0.020453 0.021087', '2 0.348008 0.441258 0.019828 0.029583']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-40-57.jpg,CAMERA_1_2025-06-24_01-40-57.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-42-40.jpg,CAMERA_1_2025-06-24_01-42-40.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-44-16.jpg,CAMERA_1_2025-06-24_01-44-16.jpg,18,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",11,"['11 0.443302 0.830026 0.02027 0.020292', '4 0.555769 0.788714 0.020056 0.020184', '18 0.526548 0.663876 0.020762 0.0207', '15 0.313634 0.675653 0.019749 0.020112', '9 0.499234 0.779949 0.019641 0.020077', '3 0.367279 0.708123 0.054654 0.114864', '19 0.548356 0.75501 0.020349 0.020523', '5 0.575682 0.930288 0.021211 0.020992', '17 0.457356 0.639871 0.0204 0.020452', '14 0.407931 0.565292 0.021251 0.020783', '10 0.456688 0.679648 0.019927 0.020025', '8 0.49808 0.74184 0.019702 0.020159', '16 0.406525 0.643648 0.020304 0.02012', '6 0.471827 0.564619 0.020561 0.020752', '13 0.545377 0.932016 0.020398 0.020501', '12 0.534519 0.932294 0.020429 0.020647', '2 0.343177 0.45277 0.020689 0.03071', '7 0.60818 0.571645 0.020748 0.02028']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-46-21.jpg,CAMERA_1_2025-06-24_01-46-21.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-47-48.jpg,CAMERA_1_2025-06-24_01-47-48.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-49-20.jpg,CAMERA_1_2025-06-24_01-49-20.jpg,18,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",16,"['16 0.401485 0.63952 0.020056 0.020307', '7 0.603405 0.567291 0.019936 0.020207', '10 0.452228 0.676069 0.019484 0.019625', '3 0.362389 0.703999 0.053352 0.111648', '18 0.521387 0.658226 0.020226 0.020196', '4 0.550577 0.783488 0.020182 0.020223', '14 0.402996 0.561466 0.020353 0.020293', '11 0.438474 0.82498 0.020036 0.02012', '5 0.571284 0.925084 0.020016 0.020136', '17 0.452739 0.635168 0.019956 0.020523', '8 0.492808 0.736255 0.019976 0.020844', '9 0.494008 0.774408 0.019484 0.019828', '6 0.466897 0.559665 0.020758 0.020584', '19 0.542871 0.749486 0.019967 0.020539', '13 0.541138 0.925868 0.020933 0.021442', '12 0.529505 0.925868 0.021136 0.021797', '2 0.333787 0.449785 0.019934 0.036658', '15 0.308937 0.671733 0.019761 0.02013']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-50-38.jpg,CAMERA_1_2025-06-24_01-50-38.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-52-13.jpg,CAMERA_1_2025-06-24_01-52-13.jpg,17,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]",18,"['18 0.526658 0.673845 0.019635 0.019636', '11 0.442768 0.841709 0.020331 0.02061', '16 0.40564 0.653059 0.020936 0.020398', '14 0.407241 0.573291 0.020252 0.020215', '17 0.457499 0.649255 0.020557 0.020433', '10 0.456805 0.68941 0.019898 0.019719', '9 0.499051 0.790761 0.019683 0.020551', '5 0.576738 0.943512 0.020623 0.02034', '6 0.471599 0.572514 0.020322 0.020685', '19 0.548402 0.765833 0.02075 0.020718', '3 0.366127 0.718104 0.056485 0.116526', '7 0.609831 0.579673 0.020306 0.019993', '8 0.497955 0.75235 0.02014 0.021002', '4 0.556364 0.80138 0.020639 0.020608', '13 0.545642 0.944304 0.021577 0.021644', '12 0.534415 0.94472 0.021477 0.02161', '2 0.341546 0.476461 0.020705 0.047686']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-54-03.jpg,CAMERA_1_2025-06-24_01-54-03.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-55-46.jpg,CAMERA_1_2025-06-24_01-55-46.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-57-21.jpg,CAMERA_1_2025-06-24_01-57-21.jpg,15,"[1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18]",1,"['1 0.568053 0.711127 0.061878 0.126753', '9 0.494814 0.776798 0.020139 0.019869', '11 0.439452 0.827601 0.020281 0.02038', '16 0.340671 0.702553 0.020185 0.020625', '17 0.392452 0.650879 0.019881 0.020627', '8 0.494465 0.739725 0.020968 0.021737', '15 0.32637 0.626607 0.019878 0.019984', '7 0.461659 0.563873 0.021362 0.021455', '6 0.329964 0.564101 0.020485 0.020768', '5 0.571719 0.927448 0.02077 0.021307', '13 0.540967 0.929145 0.021228 0.022028', '12 0.529585 0.929065 0.021122 0.021969', '10 0.452445 0.679266 0.019876 0.020769', '18 0.460355 0.643157 0.019947 0.020085', '2 0.338257 0.458477 0.021066 0.045437']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_01-59-09.jpg,CAMERA_1_2025-06-24_01-59-09.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_02-00-57.jpg,CAMERA_1_2025-06-24_02-00-57.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_02-01-10.jpg,CAMERA_1_2025-06-24_02-01-10.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_02-02-34.jpg,CAMERA_1_2025-06-24_02-02-34.jpg,6,"[2, 6, 7, 15, 17, 18]",17,"['17 0.392874 0.64011 0.021023 0.02119', '15 0.327725 0.616261 0.018702 0.019024', '6 0.330318 0.554684 0.019491 0.019683', '7 0.462594 0.554086 0.02038 0.020733', '2 0.340864 0.422479 0.019435 0.023618', '18 0.461764 0.631029 0.020516 0.021032']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_02-04-34.jpg,CAMERA_1_2025-06-24_02-04-34.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_02-06-05.jpg,CAMERA_1_2025-06-24_02-06-05.jpg,2,"[7, 18]",7,"['7 0.605675 0.574011 0.020883 0.020638', '18 0.523667 0.666181 0.022163 0.022537']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_02-08-05.jpg,CAMERA_1_2025-06-24_02-08-05.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_02-09-54.jpg,CAMERA_1_2025-06-24_02-09-54.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_02-11-33.jpg,CAMERA_1_2025-06-24_02-11-33.jpg,17,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]",4,"['4 0.553096 0.797848 0.019989 0.020151', '18 0.523324 0.672796 0.020356 0.020399', '19 0.544989 0.764208 0.020039 0.020391', '16 0.402305 0.650983 0.020272 0.02037', '9 0.495816 0.788162 0.019773 0.020277', '14 0.404039 0.573203 0.019682 0.019726', '5 0.573323 0.939248 0.02032 0.020675', '8 0.494589 0.75105 0.020128 0.020664', '7 0.605323 0.57784 0.020714 0.020511', '17 0.453966 0.647448 0.019849 0.020221', '13 0.543096 0.941577 0.020601 0.021089', '3 0.362668 0.717458 0.054844 0.115936', '10 0.453865 0.687931 0.019553 0.019608', '11 0.440119 0.838762 0.020494 0.020657', '12 0.531651 0.941511 0.020419 0.020868', '6 0.468048 0.570769 0.020365 0.020002', '2 0.334769 0.470085 0.020119 0.038511']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_02-13-23.jpg,CAMERA_1_2025-06-24_02-13-23.jpg,0,[],-,[]
